ID,Title,Icon name,Menu to display on,Description,Initial State,Tier,Price in Points,Price in Gems,Type,Column,Row
activity_hiit,,activity_hiit,,,Locked,,,,,,
activity_injury,,activity_injury,all,,Locked,,,,,,
activity_lightning,,activity_lightning,,,Locked,,,,,,
activity_marathon,Marathon,activity_marathon,run,Race a full marathon,Locked,,,,,,
activity_mariokart,,activity_mariokart,,,Locked,,,,,,
activity_matthew_pincent,,activity_matthew_pincent,gym,,Locked,,,,,,
activity_monster,,activity_monster,run,,Locked,,,,,,
activity_monster_level2,,activity_monster_level2,run,,Locked,,,,,,
activity_month,,activity_month,,,Locked,,,,,,
activity_morning,,activity_morning,,,Locked,,,,,,
activity_mushroom,Magic Mushroom Power-up,activity_mushroom,,Achieve the feeling of speed with some Augmented Reality magic,Locked,,,,,,
activity_music,Sound effects,activity_music,all,Sound effects on/off,Locked,,,,,,
activity_onepercent,,activity_onepercent,,,Locked,,,,,,
activity_orchestra,Music,activity_orchestra,all,Motivational music that adapts to your speed.,Locked,,,,,,
activity_pacman,,activity_pacman,,,Locked,,,,,,
activity_park,,activity_park,,,Locked,,,,,,
activity_paula_radcliffe,Paula radcliffe,activity_paula_radcliffe,run,Race a marathon vs. Paula,Locked,,,,,,
activity_press_up,Press-ups,activity_press_up,all,,Locked,,,,,,
activity_pull_up,Pull-ups,activity_pull_up,all,,Locked,,,,,,
activity_question,Take a chance,activity_question,,Unlock for a chance to win a random game from the grid,Locked,,,,,,
activity_race_yourself,Race Yourself,activity_run,run,Race against your own avatar,Unlocked,0,0,0,Race,0,0
activity_rain,Rainy day,activity_rain,all,Earn extra points by exercising in the rain,Locked,,,,,,
activity_rearview,Rear-view mirror,activity_rearview,all,Tap to see behind you whilst you exercise,Locked,,,,,,
activity_rest,,activity_rest,all,,Locked,,,,,,
activity_rowing,Indoor rower,activity_rowing,gym,Race on a rowing machine in the gym,Locked,,,,,,
activity_run,Running Mode,activity_run,run,Switch to running mode,Locked,,,,,,
activity_run_zombies_run,Run Zombies Run,activity_run_zombies_run,run,,Locked,,,,,,
activity_runtracker,,activity_runtracker,,,Locked,,,,,,
activity_shopping,,activity_shopping,,,Locked,,,,,,
activity_situp,Sit-ups,activity_situp,all,,Locked,,,,,,
activity_skiing,Indoor skiing,activity_skiing,gym,Race on a skiing machine in the gym,Locked,,,,,,
activity_spotify,Spotify integration,activity_spotify,all,Control your music without leaving RaceYourself,Locked,,,,,,
activity_spy_skin,,activity_spy_skin,,,Locked,,,,,,
activity_squat,Squats,activity_squat,all,,Locked,,,,,,
activity_stationary_bike,Cycling Machine,activity_stationary_bike,gym,,Locked,,,,,,
activity_steve_redgrave,,activity_steve_redgrave,gym,,Locked,,,,,,
activity_timer,,activity_timer,all,,Locked,,,,,,
activity_timer_10,,activity_timer_10,all,,Locked,,,,,,
activity_timer_20,,activity_timer_20,all,,Locked,,,,,,
activity_timer_30,,activity_timer_30,all,,Locked,,,,,,
activity_tortoise_hare,,activity_tortoise_hare,all,,Locked,,,,,,
activity_traffic,The commuter's challenge,activity_traffic,cycle,Bring life to your daily commute..,Locked,,,,,,
activity_trail,,activity_trail,,,Locked,,,,,,
activity_train,The train game,activity_train,all,Race to escape the train crossing,Locked,1,5000,5,Pursuit,0,1
activity_train_level2,The train game II,activity_train_level2,all,,Locked,2,20000,10,Pursuit,0,2
activity_treadmill,Treadmill,activity_treadmill,gym,,Locked,,,,,,
activity_trophy,,activity_trophy,,,Locked,,,,,,
activity_unknown1,,activity_unknown1,,,Locked,,,,,,
activity_unknown2,,activity_unknown2,,,Locked,,,,,,
activity_unknown3,,activity_unknown3,,,Locked,,,,,,
activity_challenge_mode,Challenge Mode,activity_versus,run,Challenge a friend to beat your time,Locked,1,1000,1,,,
activity_week,,activity_week,,,Locked,,,,,,
activity_whistle,Interval training,activity_whistle,run,,Locked,,,,,,
activity_wristband,Wristband add-on,activity_wristband,all,Connect to a bluetooth wristband to measure your running style,Locked,,,,,,
activity_year_avg,,activity_year_avg,,,Locked,,,,,,
activity_yoga_level1,Basic yoga workout,activity_yoga_level1,all,,Locked,,,,,,
activity_yoga_level2,Intermediate yoga workout,activity_yoga_level2,all,,Locked,,,,,,
activity_yoga_level3,Hardcore yoga workout,activity_yoga_level3,all,,Locked,,,,,,
activity_zombie,Zombie Chase,activity_zombie,run,Flee or be zombified. Requires heart-rate monitor.,Locked,2,30000,25,Pursuit,1,0
activity_zombie_level2,Zombie Chase level 2,activity_zombie_level2,run,More faster zombies. Requires Zombie Chase.,Locked,3,50000,40,Pursuit,1,1
activity_zombie_level3,Zombie Chase level 3,activity_zombie_level3,run,More faster zombies. Requires Zombie Chase level 2.,Locked,4,80000,75,Pursuit,1,2
activity_zombie_skin,Zombie skin for your avatar,activity_zombie_skin,run,Upgrade your avatar to earn extra points when racing friends,Locked,,,,,,
activity_zoom,Zoom,activity_zoom,all,Zoom in to get a better view of your competitors,Locked,,,,,,
background,,background,,,Locked,,,,,,
choose_10km,,choose_10km,,,Locked,,,,,,
choose_1km,,choose_1km,,,Locked,,,,,,
choose_2km,,choose_2km,,,Locked,,,,,,
choose_3km,,choose_3km,,,Locked,,,,,,
choose_4km,,choose_4km,,,Locked,,,,,,
choose_5km,,choose_5km,,,Locked,,,,,,
choose_distance,,choose_distance,,,Locked,,,,,,
extras_attachments,,extras_attachments,,,Locked,,,,,,
facebook,Facebook,facebook,share,Post on your facebook wall,Locked,,,,,,
google,Google+,google,share,Post on Google+,Locked,,,,,,
menu,,menu,share,,Locked,,,,,,
share,Share,share,all,Share your track logs with friends,Locked,,,,,,
twitter,Twitter,twitter,share,Tweet to your followers,Locked,,,,,,
